Change Physical Footprint: Designator=*1 Old Footprint=DIP34 New Footprint=DIP34
Change Physical Footprint: Designator=Batt.B1 Old Footprint=18650_PCB_HOLDER New Footprint=18650_PCB_HOLDER
Change Physical Footprint: Designator=Batt.B2 Old Footprint=18650_PCB_HOLDER New Footprint=18650_PCB_HOLDER
Change Physical Footprint: Designator=Batt.B3 Old Footprint=18650_PCB_HOLDER New Footprint=18650_PCB_HOLDER
Change Physical Footprint: Designator=Batt.B4 Old Footprint=18650_PCB_HOLDER New Footprint=18650_PCB_HOLDER
Change Physical Footprint: Designator=Batt.B5 Old Footprint=18650_PCB_HOLDER New Footprint=18650_PCB_HOLDER
Change Physical Footprint: Designator=Batt.B6 Old Footprint=18650_PCB_HOLDER New Footprint=18650_PCB_HOLDER
Change Physical Footprint: Designator=C1.B1 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C1.B2 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C1.B3 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C1.B4 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C1.B5 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C1.B6 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C2.B1 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C2.B2 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C2.B3 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C2.B4 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C2.B5 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=C2.B6 Old Footprint=6-0805_L New Footprint=6-0805_L
Change Physical Footprint: Designator=D1.B1 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D1.B2 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D1.B3 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D1.B4 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D1.B5 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D1.B6 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D2.B1 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D2.B2 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D2.B3 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D2.B4 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D2.B5 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D2.B6 Old Footprint=LED-1 New Footprint=LED-1
Change Physical Footprint: Designator=D.B1 Old Footprint=LED Strip New Footprint=LED Strip
Change Physical Footprint: Designator=D.B2 Old Footprint=LED Strip New Footprint=LED Strip
Change Physical Footprint: Designator=D.B3 Old Footprint=LED Strip New Footprint=LED Strip
Change Physical Footprint: Designator=D.B4 Old Footprint=LED Strip New Footprint=LED Strip
Change Physical Footprint: Designator=D.B5 Old Footprint=LED Strip New Footprint=LED Strip
Change Physical Footprint: Designator=D.B6 Old Footprint=LED Strip New Footprint=LED Strip
Change Physical Footprint: Designator=LEDDriver.B1 Old Footprint=DIP18 New Footprint=DIP18
Change Physical Footprint: Designator=LEDDriver.B2 Old Footprint=DIP18 New Footprint=DIP18
Change Physical Footprint: Designator=LEDDriver.B3 Old Footprint=DIP18 New Footprint=DIP18
Change Physical Footprint: Designator=LEDDriver.B4 Old Footprint=DIP18 New Footprint=DIP18
Change Physical Footprint: Designator=LEDDriver.B5 Old Footprint=DIP18 New Footprint=DIP18
Change Physical Footprint: Designator=LEDDriver.B6 Old Footprint=DIP18 New Footprint=DIP18
Change Physical Footprint: Designator=MP1 Old Footprint=SOIC24 New Footprint=SOIC24
Change Physical Footprint: Designator=NMOS*.B1 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=NMOS*.B2 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=NMOS*.B3 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=NMOS*.B4 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=NMOS*.B5 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=NMOS*.B6 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=OC_1.B1 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_1.B2 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_1.B3 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_1.B4 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_1.B5 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_1.B6 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_2.B1 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_2.B2 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_2.B3 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_2.B4 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_2.B5 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=OC_2.B6 Old Footprint=SMDIP4 New Footprint=SMDIP4
Change Physical Footprint: Designator=PMos.B1 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=PMos.B2 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=PMos.B3 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=PMos.B4 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=PMos.B5 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=PMos.B6 Old Footprint=MOSFET New Footprint=MOSFET
Change Physical Footprint: Designator=R1.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R1.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R1.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R1.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R1.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R1.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R2.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R2.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R2.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R2.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R2.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R2.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R3.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R3.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R3.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R3.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R3.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R3.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R4.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R4.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R4.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R4.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R4.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R4.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R5.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R5.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R5.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R5.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R5.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R5.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R6.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R6.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R6.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R6.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R6.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R6.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R7.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R7.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R7.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R7.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R7.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R7.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R8.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R8.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R8.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R8.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R8.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R8.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R9.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R9.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R9.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R9.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R9.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R9.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R10.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R10.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R10.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R10.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R10.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R10.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R11.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R11.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R11.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R11.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R11.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R11.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R12.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R12.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R12.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R12.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R12.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R12.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R13.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R13.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R13.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R13.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R13.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R13.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R14.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R14.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R14.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R14.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R14.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R14.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R15.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R15.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R15.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R15.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R15.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R15.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R16.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R16.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R16.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R16.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R16.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R16.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R17.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R17.B2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R17.B3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R17.B4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R17.B5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R17.B6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R18 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R19 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R20 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R21 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R22.B1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R22.B2 Old Footprint=J1-0603 New Footprint=J1-0603
