"Bill of Material for "
"On 18/08/2015 at 18:33:25"

"Comment","Pattern","Quantity","Components"

"Antenna","18650_PCB_HOLDER","6","Batt.B1, Batt.B2, Batt.B3, Batt.B4, Batt.B5, Batt.B6",""
"Arduino_Micro","DIP34","1","*1",""
"Cap","6-0805_L","12","C1.B1, C1.B2, C1.B3, C1.B4, C1.B5, C1.B6, C2.B1, C2.B2, C2.B3, C2.B4, C2.B5, C2.B6","Capacitor"
"I2C Header","HDR1X4","1","I2C","Header, 4-Pin"
"LED","LED Strip","6","D.B1, D.B2, D.B3, D.B4, D.B5, D.B6",""
"LED1","LED","12","D1.B1, D1.B2, D1.B3, D1.B4, D1.B5, D1.B6, D2.B1, D2.B2, D2.B3, D2.B4, D2.B5, D2.B6","Typical RED GaAs LED"
"LM3914","DIP18","6","LEDDriver.B1, LEDDriver.B2, LEDDriver.B3, LEDDriver.B4, LEDDriver.B5, LEDDriver.B6",""
"Mosfet-N","MOSFET","6","NMOS*.B1, NMOS*.B2, NMOS*.B3, NMOS*.B4, NMOS*.B5, NMOS*.B6",""
"Mosfet-P","MOSFET","6","PMos.B1, PMos.B2, PMos.B3, PMos.B4, PMos.B5, PMos.B6",""
"Multiplexer CD4097","SOIC24","1","MP1",""
"OptoCoupler","SMDIP4","12","OC_1.B1, OC_1.B2, OC_1.B3, OC_1.B4, OC_1.B5, OC_1.B6, OC_2.B1, OC_2.B2, OC_2.B3, OC_2.B4, OC_2.B5, OC_2.B6",""
"Res3","J1-0603","118","R1.B1, R1.B2, R1.B3, R1.B4, R1.B5, R1.B6, R2.B1, R2.B2, R2.B3, R2.B4, R2.B5, R2.B6, R3.B1, R3.B2, R3.B3, R3.B4, R3.B5, R3.B6, R4.B1, R4.B2, R4.B3, R4.B4, R4.B5, R4.B6, R5.B1, R5.B2, R5.B3, R5.B4, R5.B5, R5.B6, R6.B1, R6.B2, R6.B3, R6.B4, R6.B5, R6.B6, R7.B1, R7.B2, R7.B3, R7.B4, R7.B5, R7.B6, R8.B1, R8.B2, R8.B3, R8.B4, R8.B5, R8.B6, R9.B1, R9.B2, R9.B3, R9.B4, R9.B5, R9.B6, R10.B1, R10.B2, R10.B3, R10.B4, R10.B5, R10.B6, R11.B1, R11.B2, R11.B3, R11.B4, R11.B5, R11.B6, R12.B1, R12.B2, R12.B3, R12.B4, R12.B5, R12.B6, R13.B1, R13.B2, R13.B3, R13.B4, R13.B5, R13.B6, R14.B1, R14.B2, R14.B3, R14.B4, R14.B5, R14.B6, R15.B1, R15.B2, R15.B3, R15.B4, R15.B5, R15.B6, R16.B1, R16.B2, R16.B3, R16.B4, R16.B5, R16.B6, R17.B1, R17.B2, R17.B3, R17.B4, R17.B5, R17.B6, R18, R19, R20, R21, R22.B1, R22.B2, R22.B3, R22.B4, R22.B5, R22.B6, R23.B1, R23.B2, R23.B3, R23.B4, R23.B5, R23.B6","Resistor"
"SerialHeader","HDR1X4","1","Serial","Header, 4-Pin"
